Quarter,RealConsumption
01-01-2000,89.18352843
01-04-2000,89.5981127
01-07-2000,89.62507889
01-10-2000,90.48970676
01-01-2001,91.17008734
01-04-2001,90.47946667
01-07-2001,89.50178895
01-10-2001,89.18304524
01-01-2002,89.34655216
01-04-2002,90.06014334
01-07-2002,90.35270141
01-10-2002,90.59619626
01-01-2003,90.65746954
01-04-2003,91.27559186
01-07-2003,91.55079196
01-10-2003,92.54502852
01-01-2004,93.22343914
01-04-2004,93.2385298
01-07-2004,93.80885264
01-10-2004,93.63202059
01-01-2005,94.11036847
01-04-2005,94.84598235
01-07-2005,95.80067098
01-10-2005,95.97590475
01-01-2006,96.12302009
01-04-2006,96.27392669
01-07-2006,96.07720916
01-10-2006,97.38348041
01-01-2007,98.01706508
01-04-2007,98.05826704
01-07-2007,97.5268045
01-10-2007,97.95521568
01-01-2008,98.28931024
01-04-2008,97.72759204
01-07-2008,96.52169598
01-10-2008,94.13177788
01-01-2009,89.58911778
01-04-2009,91.35911086
01-07-2009,91.33004461
01-10-2009,92.44783129
01-01-2010,93.4057908
01-04-2010,94.54916842
01-07-2010,96.26156796
01-10-2010,95.47127831
01-01-2011,94.45288183
01-04-2011,93.65144146
01-07-2011,95.92186086
01-10-2011,95.79578324
01-01-2012,97.10954406
01-04-2012,96.23168399
01-07-2012,95.86493637
01-10-2012,95.81356866
01-01-2013,97.11725665
01-04-2013,97.99649198
01-07-2013,98.94279897
01-10-2013,98.83640239
01-01-2014,99.60814464
01-04-2014,97.82614594
01-07-2014,97.92133604
01-10-2014,98.37717802
01-01-2015,99.87072583
01-04-2015,100.0316309
01-07-2015,100.1406665
01-10-2015,99.96599026
01-01-2016,100.6856028
01-04-2016,100.551348
01-07-2016,100.7550905
01-10-2016,100.9040829
01-01-2017,101.6932017
01-04-2017,102.0921006
01-07-2017,102.9293162
01-10-2017,103.055747
01-01-2018,103.134118
01-04-2018,103.5041366
01-07-2018,102.9261197
01-10-2018,102.7925711
01-01-2019,103.0290596
01-04-2019,103.4134067
01-07-2019,103.5643505
01-10-2019,100.7173453
01-01-2020,101.2316171
01-04-2020,93.37770954
01-07-2020,98.52871648
01-10-2020,100.3524189
01-01-2021,100.6313359
01-04-2021,101.0072272
01-07-2021,100.5694494
01-10-2021,101.6979036
01-01-2022,101.0911364
01-04-2022,102.1846889
01-07-2022,102.086581
01-10-2022,102.3398327
01-01-2023,103.5959443
01-04-2023,104.5080185
01-07-2023,103.7464792
